,resent,pslave1860,cottonsuit,coarea00,rugged,latitude,longitude,water1860,state.abb,sample.size
447,NA,0.594581745,0.706653125,0.100765805,18.02552414,32.4417879,-84.03515497,0,GA,1.3104412
448,5,0.335749199,0.433211111,0.072318685,27.91102409,34.12793744,-83.20905267,0,GA,6.291313308
449,NA,0.477438836,0.629584615,0.091185596,23.68705177,32.35336997,-84.52462399,0,GA,1.714929274
450,3.416317359,0.570645793,0.5250225,0.126331241,25.49645042,33.04067862,-84.68835599,0,GA,9.932813624
451,3.910963498,0.368848654,0.577873529,0.125992881,22.2779007,31.22536114,-84.19427507,1,GA,14.56924661
452,3.269291269,0.637936438,0.582646429,0.099424159,31.26050377,33.0140992,-83.91871495,0,GA,8.558485471
453,NA,0.325992659,0.570572727,0.061231783,16.37125206,32.17456677,-82.53375524,1,GA,1.228680295
454,3,0.700810243,0.456611538,0.089228465,23.44897461,33.59081876,-83.49238552,0,GA,1.094411377
455,3.530755588,0.203586051,0.292366667,0.088455009,175.0033417,34.78845071,-84.74813086,0,GA,15.8764201
456,2.402743269,0.448926676,0.60494375,0.054926493,26.43348694,32.51000132,-84.87690368,1,GA,38.28340669
457,4.780014601,0.450977654,0.448045,0.070147753,20.38103104,33.55514052,-83.85015611,0,GA,34.80926651
458,4.25271873,0.504546265,0.43739375,0.046962068,26.30591965,33.83499079,-83.43700719,0,GA,13.38826473
459,2.635249821,0.650619101,0.437066667,0.111653005,26.88255119,33.88072239,-83.080586,0,GA,2.911477292
460,4.222368059,0.081273089,0.327335,0.079555002,38.32587051,33.92020139,-84.86721135,0,GA,61.42213911
461,4.808220095,0.688937288,0.6177625,0.037655642,NA,32.56870289,-83.82695747,0,GA,22.89865425
462,3.23110694,0.049686932,0.161844444,0.059160542,107.5571136,34.46433562,-84.4655794,0,GA,13.11115688
463,4.5,0.118094273,0.5200375,0.084487484,9.889661789,31.35889817,-82.21332533,0,GA,4.593194806
464,5,0.468545346,0.574466667,0.054932036,19.91573715,33.09221333,-84.38926954,0,GA,7.205205469
465,4.72719175,0.387609214,0.301159091,0.078901927,39.85650635,34.00179382,-85.1881438,0,GA,19.61876437
466,3.747421007,0.704987654,0.570182143,0.090460455,21.33630371,33.32172436,-83.372881,0,GA,9.613569829
467,NA,0.497439467,0.465728571,0.03972358,24.46778679,31.86754529,-85.01866968,1,GA,0.730158977
